source_split,original_line_number,original_text,normalized_text,label,removal_reason,duplicate_of_split
train,98308,邓普顿基金遭香港证监公开谴责,邓普顿基金遭香港证监公开谴责,2,conflicting_labels,
train,98888,格林尼治时间或将被原子时取代 已使用120余年,格林尼治时间或将被原子时取代 已使用120余年,4,conflicting_labels,
train,100724,金山与盛大游戏合资被指让出运营权,金山与盛大游戏合资被指让出运营权,8,conflicting_labels,
train,100855,越南网游仍在收紧 中国厂商或需调整,越南网游仍在收紧 中国厂商或需调整,4,conflicting_labels,
train,102778,俄罗斯电信高管将iPhone手机比作毒品,俄罗斯电信高管将iPhone手机比作毒品,8,conflicting_labels,
train,102791,中华网股票交易代码改成“CHIND”,中华网股票交易代码改成“CHIND”,8,conflicting_labels,
train,103032,盛大游戏制作人体系：分权的游戏,盛大游戏制作人体系:分权的游戏,8,conflicting_labels,
train,104134,盛大游戏朱继盛 网游就是信息化,盛大游戏朱继盛 网游就是信息化,4,conflicting_labels,
train,104572,欧盟委员会证实已收到对谷歌的反垄断投诉,欧盟委员会证实已收到对谷歌的反垄断投诉,4,conflicting_labels,
train,105065,保利地产澄清公司领导涉陈绍基案传闻,保利地产澄清公司领导涉陈绍基案传闻,2,conflicting_labels,
train,105539,大摩：《梦幻西游》PCU创出历史新高,大摩:《梦幻西游》PCU创出历史新高,8,conflicting_labels,
train,105626,商务部否认柬埔寨对我国援建办公楼不满意,商务部否认柬埔寨对我国援建办公楼不满意,1,conflicting_labels,
train,105965,马化腾微博打破沉默 称金山游戏遭360拦截,马化腾微博打破沉默 称金山游戏遭360拦截,4,conflicting_labels,
train,106715,患病偏瘫老师教书32年 6次高考上线被拒(图),患病偏瘫老师教书32年 6次高考上线被拒(图),5,conflicting_labels,
train,107180,两房抵押贷款收益率升至一个月高点,两房抵押贷款收益率升至一个月高点,1,conflicting_labels,
train,107272,高考改革方案确定 部分科目实行一年多考,高考改革方案确定 部分科目实行一年多考,6,conflicting_labels,
train,108772,格林尼治时间或将被原子时取代 已使用120余年,格林尼治时间或将被原子时取代 已使用120余年,6,conflicting_labels,
train,110953,邓普顿基金遭香港证监公开谴责,邓普顿基金遭香港证监公开谴责,0,conflicting_labels,
train,117234,纽约股市中国概念股一周综述,纽约股市中国概念股一周综述,2,conflicting_labels,
train,117373,患病偏瘫老师教书32年 6次高考上线被拒(图),患病偏瘫老师教书32年 6次高考上线被拒(图),3,conflicting_labels,
train,118245,马化腾微博打破沉默 称金山游戏遭360拦截,马化腾微博打破沉默 称金山游戏遭360拦截,8,conflicting_labels,
train,118533,保利地产澄清公司领导涉陈绍基案传闻,保利地产澄清公司领导涉陈绍基案传闻,1,conflicting_labels,
train,119313,中行去年净利超千亿 明年底前或无股权融资计划,中行去年净利超千亿 明年底前或无股权融资计划,0,conflicting_labels,
train,120491,环保电力也想入股新纪元期货,环保电力也想入股新纪元期货,0,conflicting_labels,
train,122989,教育部称大三学生可应征入伍 服役完后可复学,教育部称大三学生可应征入伍 服役完后可复学,6,conflicting_labels,
train,124185,金地集团逼近增发价 基金一个月狂抛1400万股,金地集团逼近增发价 基金一个月狂抛1400万股,0,conflicting_labels,
train,132432,李克强：将在内地推出港股组合ETF,李克强:将在内地推出港股组合ETF,0,conflicting_labels,
train,134141,少女网吧内连续通宵两晚 沉睡公厕被误认为女尸,少女网吧内连续通宵两晚 沉睡公厕被误认为女尸,5,conflicting_labels,
train,134315,ThinkEquity建议买入威瑞信,ThinkEquity建议买入威瑞信,2,conflicting_labels,
train,134898,摩根士丹利拟拆分旗下最大自营交易部门,摩根士丹利拟拆分旗下最大自营交易部门,2,conflicting_labels,
train,138067,内地基金公司在港首只ETF15日上市,内地基金公司在港首只ETF15日上市,2,conflicting_labels,
train,142520,广东高考作文题在网上提前曝光系作弊行为,广东高考作文题在网上提前曝光系作弊行为,3,conflicting_labels,
train,143981,少女网吧内连续通宵两晚 沉睡公厕被误认为女尸,少女网吧内连续通宵两晚 沉睡公厕被误认为女尸,4,conflicting_labels,
train,144106,龙源技术净利降八成 基金加仓遭遇业绩地雷,龙源技术净利降八成 基金加仓遭遇业绩地雷,2,conflicting_labels,
train,145325,9岁幼童身绑iPad 2入境被查获,9岁幼童身绑iPad 2入境被查获,8,conflicting_labels,
train,146147,万科放弃追求第一 踏空7个月土储只够2.5年,万科放弃追求第一 踏空7个月土储只够2.5年,2,conflicting_labels,
train,147983,虚拟货币交易所得征税 玩家3大疑问破解,虚拟货币交易所得征税 玩家3大疑问破解,8,conflicting_labels,
train,149067,房屋动迁组长半年内骗补偿金724万,房屋动迁组长半年内骗补偿金724万,1,conflicting_labels,
train,149249,全国总工会建议试点学生在父母务工地参加高考,全国总工会建议试点学生在父母务工地参加高考,6,conflicting_labels,
train,150275,虚拟货币交易所得征税 玩家3大疑问破解,虚拟货币交易所得征税 玩家3大疑问破解,4,conflicting_labels,
train,155865,卖房人将精装房内物品全部搬走引争议,卖房人将精装房内物品全部搬走引争议,1,conflicting_labels,
train,156716,内地基金公司在港首只ETF15日上市,内地基金公司在港首只ETF15日上市,0,conflicting_labels,
train,159135,高考改革方案确定 部分科目实行一年多考,高考改革方案确定 部分科目实行一年多考,3,conflicting_labels,
train,159490,听障女孩在京中考 与家人蜗居地下室7年(组图),听障女孩在京中考 与家人蜗居地下室7年(组图),3,conflicting_labels,
train,161000,教育部称大三学生可应征入伍 服役完后可复学,教育部称大三学生可应征入伍 服役完后可复学,3,conflicting_labels,
train,162089,螺纹钢等长材价格将见底回升,螺纹钢等长材价格将见底回升,0,conflicting_labels,
train,162942,中华网人事调整 高福祥出任总经理,中华网人事调整 高福祥出任总经理,4,conflicting_labels,
train,165275,豪赌下半年政策转折 基金经理大胆调仓,豪赌下半年政策转折 基金经理大胆调仓,2,conflicting_labels,
train,167124,摩根士丹利拟拆分旗下最大自营交易部门,摩根士丹利拟拆分旗下最大自营交易部门,4,conflicting_labels,
train,169265,李克强：将在内地推出港股组合ETF,李克强:将在内地推出港股组合ETF,2,conflicting_labels,
train,170145,大陆赴台读大学学生将不允许留台工作,大陆赴台读大学学生将不允许留台工作,6,conflicting_labels,
train,170345,ThinkEquity建议买入威瑞信,ThinkEquity建议买入威瑞信,4,conflicting_labels,
train,170524,分析：假如Google做游戏,分析:假如Google做游戏,4,conflicting_labels,
train,171299,男子代人炒期货亏百万 遭索债杀死委托人,男子代人炒期货亏百万 遭索债杀死委托人,0,conflicting_labels,
train,172946,21岁儿子起诉母亲索要出国留学费用,21岁儿子起诉母亲索要出国留学费用,3,conflicting_labels,
dev,2415,关注蓝筹和重组概念 地产板块有补涨机会,关注蓝筹和重组概念 地产板块有补涨机会,1,conflicting_labels,
dev,3413,国土资源部门将严查囤地开发商,国土资源部门将严查囤地开发商,6,conflicting_labels,
dev,5317,金地集团逼近增发价 基金一个月狂抛1400万股,金地集团逼近增发价 基金一个月狂抛1400万股,1,conflicting_labels,
dev,6988,卖房人将精装房内物品全部搬走引争议,卖房人将精装房内物品全部搬走引争议,5,conflicting_labels,
dev,9486,中行去年净利超千亿 明年底前或无股权融资计划,中行去年净利超千亿 明年底前或无股权融资计划,2,conflicting_labels,
test,2490,国家适当提高今年稻谷最低收购价格,国家适当提高今年稻谷最低收购价格,0,conflicting_labels,
test,2634,玉米涨价VS玉米油走弱,玉米涨价VS玉米油走弱,0,conflicting_labels,
test,6913,中华网股票交易代码改成“CHIND”,中华网股票交易代码改成“CHIND”,4,conflicting_labels,
test,7828,广东高考作文题在网上提前曝光系作弊行为,广东高考作文题在网上提前曝光系作弊行为,5,conflicting_labels,
test,9234,纽约股市中国概念股一周综述,纽约股市中国概念股一周综述,2,conflicting_labels,
test,9657,玉米涨价VS玉米油走弱,玉米涨价VS玉米油走弱,2,conflicting_labels,
test,9716,关注蓝筹和重组概念 地产板块有补涨机会,关注蓝筹和重组概念 地产板块有补涨机会,2,conflicting_labels,
dev,345,每日晚间实力机构点评热门个股精选,每日晚间实力机构点评热门个股精选,2,duplicate_with_test,test
dev,4211,颐和原著将成不可复制豪宅典范(组图),颐和原著将成不可复制豪宅典范(组图),1,duplicate_with_test,test
dev,4502,明日股市三大猜想及应对策略,明日股市三大猜想及应对策略,2,duplicate_with_test,test
dev,4864,顺义香悦四季2-3居及独栋别墅在售均价18000,顺义香悦四季2-3居及独栋别墅在售均价18000,1,duplicate_with_test,test
dev,7319,山东本科批志愿填报结束 高考录取7月2日开始,山东本科批志愿填报结束 高考录取7月2日开始,3,duplicate_with_test,test
dev,9165,新股上市一览,新股上市一览,2,duplicate_with_test,test
dev,9620,证券通盈利和评级综合调整一览表,证券通盈利和评级综合调整一览表,2,duplicate_with_test,test
train,2316,昌平纳帕海运河3-4居独栋别墅8月8-9日开盘,昌平纳帕海运河3-4居独栋别墅8月8-9日开盘,1,duplicate_with_test,test
train,2634,明日股市三大猜想及应对策略,明日股市三大猜想及应对策略,2,duplicate_with_test,test
train,2850,恒基地产与新世界交换土地 涉资6亿,恒基地产与新世界交换土地 涉资6亿,1,duplicate_with_test,test
train,3041,证券通强势个股最新估值,证券通强势个股最新估值,2,duplicate_with_test,test
train,3206,趣味：爱因斯坦出的测试 只有2%的人能答对,趣味:爱因斯坦出的测试 只有2%的人能答对,3,duplicate_with_test,test
train,3965,周末影响市场重要资讯回顾,周末影响市场重要资讯回顾,2,duplicate_with_test,test
train,3980,证券通机构天天涨幅榜背景大揭秘,证券通机构天天涨幅榜背景大揭秘,2,duplicate_with_dev,dev
train,4160,燕郊星河185项目60平起1-3居在售全款97折,燕郊星河185项目60平起1-3居在售全款97折,1,duplicate_with_dev,dev
train,4610,丰台7克拉25-72平大开间起价23000全款95折,丰台7克拉25-72平大开间起价23000全款95折,1,duplicate_with_test,test
train,5156,大兴东亚马赛公馆83平起2-3居在售全款97折,大兴东亚马赛公馆83平起2-3居在售全款97折,1,duplicate_with_dev,dev
train,5828,昌平雍�台80平起板楼在售均价14700元享97折,昌平雍�台80平起板楼在售均价14700元享97折,1,duplicate_with_test,test
train,6125,石景山融景城三期预计下半年开盘均价待定(图),石景山融景城三期预计下半年开盘均价待定(图),1,duplicate_with_test,test
train,6530,盘面解读：八大机构预测今日市场走向,盘面解读:八大机构预测今日市场走向,2,duplicate_with_dev,dev
train,6643,华尔街早餐：周一美股盘前必读,华尔街早餐:周一美股盘前必读,2,duplicate_with_dev,dev
train,6772,大兴金色漫香郡57平起9月下旬开盘均价10000,大兴金色漫香郡57平起9月下旬开盘均价10000,1,duplicate_with_dev,dev
train,7737,房山纯新盘绿地新都会国际花都11月开盘,房山纯新盘绿地新都会国际花都11月开盘,1,duplicate_with_test,test
train,8039,香港上市公司最新股权变动一览,香港上市公司最新股权变动一览,2,duplicate_with_dev,dev
train,8290,顺义富力湾余6套独栋别墅元旦购房就送IPad,顺义富力湾余6套独栋别墅元旦购房就送IPad,1,duplicate_with_test,test
train,8304,香港市场今日交易提示,香港市场今日交易提示,2,duplicate_with_test,test
train,8550,金钼股份：钼业龙头 期待钼行业机会来临,金钼股份:钼业龙头 期待钼行业机会来临,2,duplicate_with_dev,dev
train,8956,海淀宜品上层56平起0-1居精装现房可享97折,海淀宜品上层56平起0-1居精装现房可享97折,1,duplicate_with_dev,dev
train,10130,华尔街早餐：周二美股盘前必读,华尔街早餐:周二美股盘前必读,2,duplicate_with_test,test
train,10492,亦庄天鹅堡悦湖180平起叠拼别墅在售全款91折,亦庄天鹅堡悦湖180平起叠拼别墅在售全款91折,1,duplicate_with_dev,dev
train,10892,股市调整 基金仓位骤降5个百分点,股市调整 基金仓位骤降5个百分点,0,duplicate_with_dev,dev
train,11563,荣誉勋章制作人：是阿富汗选择了我们,荣誉勋章制作人:是阿富汗选择了我们,8,duplicate_with_dev,dev
train,11640,金隅七零九零板楼小户型58万起全款97折(图),金隅七零九零板楼小户型58万起全款97折(图),1,duplicate_with_dev,dev
train,12187,证券通盈利和评级综合调整一览表,证券通盈利和评级综合调整一览表,2,duplicate_with_test,test
train,13377,每日晚间实力机构点评热门个股精选,每日晚间实力机构点评热门个股精选,2,duplicate_with_test,test
train,13782,一批券商个股最新评级及推金股,一批券商个股最新评级及推金股,2,duplicate_with_test,test
train,14130,福州三网民诽谤案二审维持原判,福州三网民诽谤案二审维持原判,4,duplicate_with_dev,dev
train,14415,东坝金泰丽富嘉园50平起经济适用房在售(图),东坝金泰丽富嘉园50平起经济适用房在售(图),1,duplicate_with_test,test
train,14586,天津翠金湖美墅岛5月1日推新均价8900全款96折,天津翠金湖美墅岛5月1日推新均价8900全款96折,1,duplicate_with_dev,dev
train,15418,南宁炒楼花：利益之手催开诱惑之花,南宁炒楼花:利益之手催开诱惑之花,1,duplicate_with_dev,dev
train,16143,周五消息解读和操作策略,周五消息解读和操作策略,2,duplicate_with_test,test
train,17022,通州新华联运河湾100平米2居在售均价20000,通州新华联运河湾100平米2居在售均价20000,1,duplicate_with_dev,dev
train,17474,最新盈利预测与投资评级变化,最新盈利预测与投资评级变化,2,duplicate_with_test,test
train,17611,回龙观首开智慧社2居在售乐居独家团购享折上折,回龙观首开智慧社2居在售乐居独家团购享折上折,1,duplicate_with_dev,dev
train,18494,西南四环天龙华鹤现房公寓在售总价98万起(图),西南四环天龙华鹤现房公寓在售总价98万起(图),1,duplicate_with_test,test
train,18879,东5环中建玲珑山45平起0-3居11月中下旬开盘,东5环中建玲珑山45平起0-3居11月中下旬开盘,1,duplicate_with_dev,dev
train,19178,北京两限房质量问题追踪 豆渣墙排查本周结束,北京两限房质量问题追踪 豆渣墙排查本周结束,1,duplicate_with_dev,dev
train,20007,国展公馆地铁现房小户型7月开盘均价8500(图),国展公馆地铁现房小户型7月开盘均价8500(图),1,duplicate_with_dev,dev
train,21496,门头沟绿岛水岸5月中下旬开盘可享折上折,门头沟绿岛水岸5月中下旬开盘可享折上折,1,duplicate_with_test,test
train,21928,朝阳北京新天地精装92平起2-4居现房均价24000,朝阳北京新天地精装92平起2-4居现房均价24000,1,duplicate_with_test,test
train,22121,大兴旭辉紫郡120平起2-4居18500元最高减4万,大兴旭辉紫郡120平起2-4居18500元最高减4万,1,duplicate_with_test,test
train,22759,东五环富力又一城通透板楼两居均价14500元(图),东五环富力又一城通透板楼两居均价14500元(图),1,duplicate_with_dev,dev
train,22838,趣味测试：你是个合格的家长吗(图),趣味测试:你是个合格的家长吗(图),3,duplicate_with_test,test
train,23752,以建筑收藏生活 龙湖好望山月底强劲入市(组图),以建筑收藏生活 龙湖好望山月底强劲入市(组图),1,duplicate_with_dev,train
train,24106,东三环华远九都汇90平起1-3居在售全款享96折,东三环华远九都汇90平起1-3居在售全款享96折,1,duplicate_with_test,test
train,24140,昌平领秀慧谷57平起1-3居28日开盘均价15100,昌平领秀慧谷57平起1-3居28日开盘均价15100,1,duplicate_with_dev,dev
train,24636,大兴润枫锦尚3期3月开盘15000元全款97折(图),大兴润枫锦尚3期3月开盘15000元全款97折(图),1,duplicate_with_dev,dev
train,26413,通州K2清水湾小户型在售均价25000元,通州K2清水湾小户型在售均价25000元,1,duplicate_with_test,test
train,26558,周二消息解读和操作策略,周二消息解读和操作策略,2,duplicate_with_dev,dev
train,27030,亦庄融科香雪兰溪80平起2-3居在售均价17000,亦庄融科香雪兰溪80平起2-3居在售均价17000,1,duplicate_with_test,test
train,27277,碧桂园求解六大财务难题,碧桂园求解六大财务难题,1,duplicate_with_dev,dev
train,27945,北5环中国铁建国际城2期152平4居尾房在售(图),北5环中国铁建国际城2期152平4居尾房在售(图),1,duplicate_with_dev,dev
train,29000,新天际现房楼王7月18日开盘14000元2万抵4万,新天际现房楼王7月18日开盘14000元2万抵4万,1,duplicate_with_dev,dev
train,29051,大兴东亚马赛公馆9月18日开盘现每日优惠300,大兴东亚马赛公馆9月18日开盘现每日优惠300,1,duplicate_with_dev,dev
train,29407,亦庄悦廷新房源待售V计划团购总房款直降8万,亦庄悦廷新房源待售V计划团购总房款直降8万,1,duplicate_with_dev,dev
train,29593,证券通板块及个股调研早报,证券通板块及个股调研早报,2,duplicate_with_test,test
train,29946,上奥世纪中心酒店公寓现房59万起全款98折(图),上奥世纪中心酒店公寓现房59万起全款98折(图),1,duplicate_with_test,test
train,31171,大兴保利茉莉公馆22日推1-4居17000元优惠1万5,大兴保利茉莉公馆22日推1-4居17000元优惠1万5,1,duplicate_with_dev,dev
train,31958,通州金隅花石匠90平2居16000元1万抵10万优惠,通州金隅花石匠90平2居16000元1万抵10万优惠,1,duplicate_with_dev,dev
train,32392,海淀上地领秀新硅谷三居板楼7月开盘(图),海淀上地领秀新硅谷三居板楼7月开盘(图),1,duplicate_with_test,test
train,32933,海淀宜品上层56平精装小户型起价16200享97折,海淀宜品上层56平精装小户型起价16200享97折,1,duplicate_with_test,test
train,33252,酒店式公寓香城郦舍2010年5月开盘价格待定(图),酒店式公寓香城郦舍2010年5月开盘价格待定(图),1,duplicate_with_test,test
train,33489,楼市刚需开始释放  品牌房企优质项目获青睐,楼市刚需开始释放 品牌房企优质项目获青睐,1,duplicate_with_test,test
train,34494,变3 LOL双重奏LinkinPark演绎主题曲,变3 LOL双重奏LinkinPark演绎主题曲,8,duplicate_with_test,test
train,35189,融通内需驱动基金拟首次分红,融通内需驱动基金拟首次分红,0,duplicate_with_dev,dev
train,36362,房山绿地新都会国际花都板楼2-3居在售享95折,房山绿地新都会国际花都板楼2-3居在售享95折,1,duplicate_with_test,test
train,36883,大兴金色漫香郡预计9月开盘均价11000办卡优惠,大兴金色漫香郡预计9月开盘均价11000办卡优惠,1,duplicate_with_dev,dev
train,36980,国奥招商嘉铭珑原低密精装住宅近期即将开盘,国奥招商嘉铭珑原低密精装住宅近期即将开盘,1,duplicate_with_test,test
train,37231,大兴东亚马赛公馆均价16000办卡优惠每日省300,大兴东亚马赛公馆均价16000办卡优惠每日省300,1,duplicate_with_test,test
train,37235,固安龙TOWN6月推1-3居V团购额外享98折,固安龙TOWN6月推1-3居V团购额外享98折,1,duplicate_with_test,test
train,37339,中银行业优选基金获准发行,中银行业优选基金获准发行,0,duplicate_with_dev,dev
train,37853,证券通热门板块机构调研深度透析,证券通热门板块机构调研深度透析,2,duplicate_with_test,test
train,38368,朝外优唐大都会70平起精装小户型7月开盘(图),朝外优唐大都会70平起精装小户型7月开盘(图),1,duplicate_with_dev,dev
train,39125,昌平住总万科金域华府85-105平2-3居在售,昌平住总万科金域华府85-105平2-3居在售,1,duplicate_with_dev,dev
train,39252,西红门鸿坤理想城90平起2-4居在售可优惠14万,西红门鸿坤理想城90平起2-4居在售可优惠14万,1,duplicate_with_dev,dev
train,39394,超越前作《使命召唤7》五天劲收6.5亿,超越前作《使命召唤7》五天劲收6.5亿,8,duplicate_with_test,test
train,39687,国内首只债券指数基金获批,国内首只债券指数基金获批,0,duplicate_with_test,test
train,42607,午评：商品普遍冲高回落 农产品表现欠佳,午评:商品普遍冲高回落 农产品表现欠佳,0,duplicate_with_dev,dev
train,42962,东2环悠唐麒麟公馆精装准现房160平3居优惠7万,东2环悠唐麒麟公馆精装准现房160平3居优惠7万,1,duplicate_with_dev,dev
train,46707,易小迪：房地产市场供大于求局面短期难改变(图),易小迪:房地产市场供大于求局面短期难改变(图),1,duplicate_with_test,test
train,47016,西大望路时代帝景预计年底推70平米开间(图),西大望路时代帝景预计年底推70平米开间(图),1,duplicate_with_dev,dev
train,48393,俄罗斯为美国发射一颗通信卫星,俄罗斯为美国发射一颗通信卫星,6,duplicate_with_test,test
train,49163,大兴旭辉紫郡8月上旬售楼处与样板间正式开放,大兴旭辉紫郡8月上旬售楼处与样板间正式开放,1,duplicate_with_test,test
train,49753,通州新华联运河湾84平起精装2-3居全款99折,通州新华联运河湾84平起精装2-3居全款99折,1,duplicate_with_test,test
train,50293,香港临时演员涉嫌强奸女网友 要入行先上床？,香港临时演员涉嫌强奸女网友 要入行先上床?,9,duplicate_with_dev,dev
train,52132,大兴合生世界村精装乐居独享15800元买1层赠1层,大兴合生世界村精装乐居独享15800元买1层赠1层,1,duplicate_with_test,test
train,52290,英国正研发制造游戏场景气味的新技术,英国正研发制造游戏场景气味的新技术,8,duplicate_with_test,test
train,52658,一批券商个股最新评级及推荐金股,一批券商个股最新评级及推荐金股,2,duplicate_with_dev,dev
train,53068,朝阳北苑北京城建世华泊郡12月中下旬推2-4居,朝阳北苑北京城建世华泊郡12月中下旬推2-4居,1,duplicate_with_test,test
train,53897,上地亿城中关村软件园项目2010年4月推出(图),上地亿城中关村软件园项目2010年4月推出(图),1,duplicate_with_dev,dev
train,56275,顺义MOMA万万树400平起独栋别墅均价25000元(图),顺义MOMA万万树400平起独栋别墅均价25000元(图),1,duplicate_with_test,test
train,57028,东吴基金开通基金转换业务,东吴基金开通基金转换业务,0,duplicate_with_test,test
train,57184,陶然亭公园一瓶两居现房特价15000全款97折(图),陶然亭公园一瓶两居现房特价15000全款97折(图),1,duplicate_with_test,test
train,57885,昌平领秀慧谷2期57平起1-3居明年初开盘,昌平领秀慧谷2期57平起1-3居明年初开盘,1,duplicate_with_test,test
train,59068,证监会就分级基金产品审核指引征求意见,证监会就分级基金产品审核指引征求意见,0,duplicate_with_dev,dev
train,59977,通州富力金禧花园预计4月推新1-3居,通州富力金禧花园预计4月推新1-3居,1,duplicate_with_dev,dev
train,60159,房山瑞雪春堂推特价房86-120平2-3居94折,房山瑞雪春堂推特价房86-120平2-3居94折,1,duplicate_with_test,test
train,63159,顺义纳帕尔湾准现房别墅推特价房可省100万,顺义纳帕尔湾准现房别墅推特价房可省100万,1,duplicate_with_test,test
train,63524,中期协要求期货公司加紧落实分类监管工作,中期协要求期货公司加紧落实分类监管工作,0,duplicate_with_test,test
train,64269,东直门高档精装现房当代MOMA均价36000元(图),东直门高档精装现房当代MOMA均价36000元(图),1,duplicate_with_dev,dev
train,65055,澳门特区公布第三届政府行政会委员名单,澳门特区公布第三届政府行政会委员名单,6,duplicate_with_test,test
train,65705,华业东方玫瑰10月推40平起1-2居登记享优惠,华业东方玫瑰10月推40平起1-2居登记享优惠,1,duplicate_with_test,test
train,66634,股市在线：6月2日股市早班车,股市在线:6月2日股市早班车,2,duplicate_with_dev,dev
train,66885,香港市场新股上市一览,香港市场新股上市一览,2,duplicate_with_test,test
train,69038,孔雀大卫城8月7日开盘总房款优惠1万5再享98折,孔雀大卫城8月7日开盘总房款优惠1万5再享98折,1,duplicate_with_test,test
train,69097,实力机构周末荐股精选,实力机构周末荐股精选,2,duplicate_with_test,test
train,69376,通州新华联运河湾预计春节后开盘11000元(图),通州新华联运河湾预计春节后开盘11000元(图),1,duplicate_with_test,test
train,70476,广渠路富力十号预计10月底推226平起3-4居公寓,广渠路富力十号预计10月底推226平起3-4居公寓,1,duplicate_with_test,test
