text,true_label,true_class_name,predicted_label,predicted_class_name,text_length,predicted_probability,top2_label,top2_probability
梁天：曾和葛优联袂报名春晚小品 惨遭枪毙(图),9,entertainment,3,education,23,0.52,9,0.39
亚视也跟速配风 《挞着》进行公开招募(图),9,entertainment,8,game,21,0.26,9,0.23
夏雨袁泉携手风雨十年路(图),9,entertainment,4,science,14,0.46,9,0.32
杨颖正式入禀高等法院 控告《3周刊》诽谤,9,entertainment,4,science,20,0.36,9,0.34
马苏《女人如花》受关注 厂花惨变“苦菜花”,9,entertainment,2,stocks,21,0.71,9,0.21
高价换高清到底值不值 电视台主持人遇挑战(图),9,entertainment,4,science,23,0.57,9,0.29
于震做客《最佳现场》 讲述从艺经历(图),9,entertainment,7,sports,20,0.47,9,0.27
图文：杨威杨云三亚盛大婚礼-黄玉斌百感交集,9,entertainment,7,sports,21,0.4,2,0.25
他们支撑着香港娱乐业：影视大亨-邵逸夫(图),9,entertainment,2,stocks,22,0.38,9,0.22
小S感慨生够孩子 自称以后要好好享受性爱(图),9,entertainment,5,society,23,0.47,9,0.41
英电影杂志选最伟大角色 皮特夺冠周润发排33,9,entertainment,7,sports,22,0.43,9,0.39
李小冉写微博声明称四年来一直遭威胁,9,entertainment,4,science,17,0.68,9,0.18
马琳离婚案延期 宝马车送教练被指转移遗产(图),9,entertainment,7,sports,23,0.42,9,0.38
张艾嘉郑元畅探访印度贫困儿 分享希望幸福(图),9,entertainment,6,politics,23,0.7,2,0.08
台湾“综艺教父”王伟忠在杭开传媒公司,9,entertainment,6,politics,18,0.39,4,0.16
刘嘉玲苏州别墅房间达15间 市值1700万(图),9,entertainment,1,realty,24,0.8,5,0.08
林志颖加盟中国天荣F1摩托艇招商银行队,9,entertainment,7,sports,19,0.64,9,0.16
好友揭梁洛施解约内幕 英皇恐怖10年死约(图),9,entertainment,4,science,23,0.25,5,0.24
陈慧琳风光大嫁 宣布“造人”为头等大事(图),9,entertainment,6,politics,22,0.35,9,0.23
艾薇儿北京个唱有望和丈夫Sum41主唱同台,9,entertainment,1,realty,21,0.42,5,0.32
“离婚门”成09娱乐关键词 “小三”层出不穷,9,entertainment,3,education,22,0.61,9,0.17
张紫妍原经纪人刘长浩被警方立案调查,9,entertainment,5,society,17,0.49,6,0.22
《非常了得》现女版姜振宇 封新城：光头是惊喜,9,entertainment,1,realty,22,0.42,9,0.4
韩寒回应陈文茜“肤浅”说：我不跟女生争辩,9,entertainment,5,society,20,0.51,9,0.24
齐秦手捧“心肝宝贝儿” 微博感谢关注及祝福,9,entertainment,2,stocks,21,0.48,4,0.33
梁静茹在菲律宾长滩岛完婚 李宗盛担当主婚人,9,entertainment,6,politics,21,0.63,9,0.32
言承旭日本获奖人气高 千名粉丝留机场见偶像,9,entertainment,6,politics,21,0.43,9,0.27
电影票房今日冲刺100亿 细数百亿背后的痒与痛,9,entertainment,2,stocks,23,0.19,9,0.19
罗京亲证病情不严重明年复工,9,entertainment,6,politics,13,0.44,9,0.2
郭敬明再掀圈钱攻略 多部主编漫画即将推出,9,entertainment,8,game,20,0.45,9,0.36
张之亮将携《肩上蝶》亮相法国戛纳电影节,9,entertainment,6,politics,19,0.33,9,0.22
吴尊赶戏没时间陪老爸 4天睡不到10小时,9,entertainment,4,science,20,0.27,5,0.22
日本情歌第一人高英男因肺炎病逝 享年90岁(图),9,entertainment,6,politics,24,0.63,8,0.12
周博贤改《年度之歌》变《悲歌》 调侃香港热潮,9,entertainment,2,stocks,22,0.35,9,0.33
何辉举行注册仪式 自认“当时头脑一片空白”,9,entertainment,6,politics,21,0.48,9,0.13
杰克逊老爸争遗产 每月要抢1.5万美元(图),9,entertainment,4,science,22,0.46,9,0.27
综艺：有线台完胜四大电视网络预示革命到来,9,entertainment,4,science,20,0.54,7,0.17
后街男孩中旬来华 先研究“小虎队”视频,9,entertainment,5,society,19,0.49,8,0.18
《首映》寻找《东邪西毒》洪七妻子饰演者白丽,9,entertainment,5,society,21,0.6,9,0.32
《人间》三周年重装升级 全新舞美震撼出炉,9,entertainment,8,game,20,0.9,4,0.05
陈慧珊“为了自由”不再回TVB 在内地交流更好,9,entertainment,1,realty,23,0.43,9,0.33
亚洲唯一杨紫琼上美女榜 被形容为武术女王,9,entertainment,8,game,20,0.38,9,0.3
孙志浩舅舅曝贾静雯曾发生“不堪的事”,9,entertainment,6,politics,18,0.87,2,0.04
姚笛谈裸婚称“裸”不了 对方“裸”没问题(图),9,entertainment,6,politics,23,0.34,2,0.2
龙丹妮升官不出走？水落石出就在10日,9,entertainment,4,science,18,0.32,5,0.22
传曹颖由于身体原因将暂停所有工作,9,entertainment,6,politics,16,0.41,9,0.21
毛毛童年时父母离异 不知道自己生肖,9,entertainment,5,society,17,0.65,3,0.16
罗百吉名下夜店涉毒遭警方突袭 自称店面已转让,9,entertainment,5,society,22,0.5,6,0.34
戴军怕掉份儿 穿3万元西装出席时尚活动(图),9,entertainment,4,science,22,0.24,5,0.23
孙燕姿助阵名包活动 订做独一无二手提包(图),9,entertainment,8,game,22,0.59,9,0.27
吴京自导自演动作影片 郑中基加盟出演,9,entertainment,7,sports,18,0.47,9,0.21
